Response,Target,Correct,ReactionTime,PhaseDifference,PhaseBin
3,3,1,4.7699383734398,48.1385905961058,2
3,3,1,3.98345908693591,-146.407890644537,3
2,1,0,3.4236188360228,164.744845739174,3
3,3,1,3.31712880298073,-62.4103226081761,4
2,4,0,5.28970702102015,-178.162500179656,3
3,2,0,4.56987799963463,-73.162606339867,4
4,1,0,3.33040198388335,146.071624337049,3
2,2,1,4.14344544245614,9.36129435728533,1
1,1,1,4.78316446277313,-130.211104809447,4
1,3,0,4.39675792670459,84.2051626770739,2
2,4,0,5.18305005441289,39.6819469809996,1
3,1,0,3.38371144944176,34.0432137607748,1
4,1,0,3.73030870635557,-167.433605495553,3
3,4,0,5.46294965277411,-160.131401310887,3
1,1,1,4.92982541405217,165.650076922608,3
4,4,1,4.37013368269618,96.3937006131577,2
3,2,0,4.09015107035157,96.7906776950208,2
3,1,0,4.76986230244438,134.308622829296,2
4,1,0,3.59705436208242,-155.267740513474,3
4,2,0,3.57034619848491,88.4770940284639,2
4,4,1,4.70308344112709,-167.874582541058,3
1,1,1,3.33044092498676,40.7890537212155,1
2,4,0,5.39629244467142,148.87192159902,3
3,1,0,5.04985034843048,97.1775156602145,2
4,3,0,3.29035573755027,41.1122602716459,1
3,3,1,5.58295013576571,-139.950489013555,3
1,1,1,3.41050715505116,138.083250874766,3
3,3,1,5.24976522136785,30.1587945253602,1
2,1,0,4.17018047239253,-125.257533728477,4
1,2,0,3.93029995215329,-161.157444028133,3
3,3,1,5.59624867366074,-10.1147619244882,1
1,3,0,3.3703996293043,38.9892447884352,1
2,2,1,4.72990782429406,18.9195197665503,1
2,2,1,3.33041285116997,-101.657398187954,4
3,3,1,3.37049260496497,-8.23850801266955,1
4,3,0,4.74318553322883,-23.7176140939107,1
3,3,1,4.13010313354971,-58.0934832436332,4
1,1,1,4.90313536259782,-45.0306337932931,4
4,3,0,5.23635197324256,-7.49732501536694,1
1,4,0,3.74342612283726,-105.302657380364,4
4,3,0,4.10341911947762,-129.670131835132,4
4,2,0,4.48993976203565,99.1424577319409,2
3,4,0,3.78357349529688,120.832422571887,2
4,1,0,4.93021663630498,-57.3517579170611,4
4,3,0,3.87678672500624,-25.8443854362079,1
4,4,1,3.99675883230884,-89.0822410875143,4
